Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Gross Rents,Year
13143,2894.0,43.1,46944.0,19782.0,332.0,11.472011057360055,752.0,2015
13144,1964.0,34.6,43404.0,17824.0,336.0,17.10794297352342,853.0,2015
13145,2028.0,42.1,44313.0,22623.0,362.0,17.850098619329387,675.0,2015
13146,2082.0,46.0,44954.0,21465.0,296.0,14.217098943323727,856.0,2015
13147,1286.0,41.8,66875.0,33404.0,81.0,6.298600311041991,766.0,2015
13148,10808.0,42.6,49393.0,26289.0,1466.0,13.564026646928202,735.0,2015
13152,8150.0,50.3,86380.0,52810.0,379.0,4.6503067484662575,778.0,2015
13153,201.0,50.2,47250.0,30528.0,20.0,9.950248756218905,-666666666.0,2015
13155,742.0,41.4,45179.0,20727.0,131.0,17.654986522911052,608.0,2015
13156,2152.0,45.1,55773.0,25767.0,168.0,7.806691449814126,657.0,2015
13157,729.0,54.0,39750.0,23614.0,54.0,7.407407407407407,945.0,2015
13158,1573.0,44.6,45500.0,24122.0,173.0,10.998092816274635,678.0,2015
13159,5370.0,43.8,72745.0,32980.0,363.0,6.759776536312849,810.0,2015
13160,2128.0,41.5,64630.0,27230.0,241.0,11.325187969924812,627.0,2015
13162,519.0,42.3,81571.0,59887.0,0.0,0.0,-666666666.0,2015
13163,419.0,34.9,49444.0,21323.0,102.0,24.343675417661096,771.0,2015
13164,2494.0,38.1,72750.0,29708.0,108.0,4.330392943063352,739.0,2015
13165,10753.0,41.7,48344.0,24576.0,1444.0,13.428810564493629,671.0,2015
13166,5534.0,43.5,56628.0,26577.0,517.0,9.342247921937116,719.0,2015
13167,3096.0,41.2,51250.0,23403.0,538.0,17.377260981912144,880.0,2015
13202,5878.0,27.1,15565.0,17982.0,2856.0,48.587955086764204,671.0,2015
13203,16406.0,34.3,30731.0,21115.0,5662.0,34.511763988784594,693.0,2015
13204,19896.0,30.6,28220.0,17502.0,7851.0,39.46019300361882,731.0,2015
13205,18729.0,35.3,30284.0,17858.0,6060.0,32.35623898766619,729.0,2015
13206,16428.0,36.6,38264.0,23685.0,3501.0,21.31117604090577,740.0,2015
13207,13110.0,34.2,44741.0,23296.0,3041.0,23.196033562166285,855.0,2015
13208,22353.0,33.7,32526.0,18081.0,7587.0,33.941752784861094,704.0,2015
13209,13492.0,42.2,52218.0,26431.0,1148.0,8.508745923510228,731.0,2015
13210,27737.0,21.2,25229.0,16129.0,8344.0,30.08256119984137,762.0,2015
13211,6515.0,37.2,44579.0,20942.0,1058.0,16.239447429009978,852.0,2015
13212,20417.0,43.7,51997.0,28107.0,1667.0,8.16476465690356,792.0,2015
13214,9032.0,34.1,68424.0,30054.0,647.0,7.16341895482728,793.0,2015
13215,15646.0,44.8,82421.0,38575.0,577.0,3.6878435382845454,893.0,2015
13219,14955.0,44.9,59590.0,31487.0,815.0,5.449682380474758,812.0,2015
13224,8628.0,40.1,51591.0,30566.0,1488.0,17.2461752433936,715.0,2015
13290,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0,2015
13301,84.0,54.7,74107.0,41857.0,0.0,0.0,-666666666.0,2015
13302,1795.0,40.3,48594.0,19969.0,387.0,21.559888579387188,788.0,2015
13303,1160.0,48.2,64107.0,32429.0,68.0,5.862068965517241,905.0,2015
13304,1691.0,46.3,80469.0,38671.0,234.0,13.837965700768775,840.0,2015
13305,469.0,30.3,90000.0,25341.0,4.0,0.8528784648187633,-666666666.0,2015
13308,2695.0,49.1,40585.0,25290.0,509.0,18.88682745825603,819.0,2015
13309,5755.0,42.9,53829.0,25637.0,819.0,14.23110338835795,574.0,2015
13310,481.0,43.8,48188.0,20193.0,36.0,7.484407484407485,-666666666.0,2015
13312,492.0,48.3,40882.0,28290.0,60.0,12.195121951219512,825.0,2015
13313,525.0,32.2,38438.0,16412.0,149.0,28.38095238095238,635.0,2015
13314,664.0,37.2,43542.0,21331.0,131.0,19.728915662650603,-666666666.0,2015
13315,1400.0,44.6,49861.0,21807.0,199.0,14.214285714285714,1088.0,2015
33980,11849.0,60.9,42619.0,28128.0,1184.0,9.99240442231412,825.0,2015
33981,9857.0,59.6,46472.0,29768.0,1192.0,12.092928883027291,1050.0,2015
33982,10528.0,49.7,43342.0,21761.0,1319.0,12.528495440729483,726.0,2015
33983,15376.0,53.0,48508.0,25236.0,1730.0,11.251300728407909,873.0,2015
